Model,Model Family,Parameters (billions),Task,Output File,Output File Size (bytes),LLM Call Duration (sec),Subjective Quality of Output
deepseek-r1:32b,deepseek-r1,32,05-configure-keys,deepseek-r1:32b-05-configure-keys.md,  4665 ,193.0,★★★★★
deepseek-r1:32b,deepseek-r1,32,10-configure-ansible,deepseek-r1:32b-10-configure-ansible.md,  6054 ,247.0,★★★★★
deepseek-r1:32b,deepseek-r1,32,40-configure-tekton,deepseek-r1:32b-40-configure-tekton.md, 15617 ,627.2,★★★★★
deepseek-r1:14b,deepseek-r1,14,05-configure-keys,deepseek-r1:14b-05-configure-keys.md,  4269 ,77.4,★★★★☆
deepseek-r1:14b,deepseek-r1,14,10-configure-ansible,deepseek-r1:14b-10-configure-ansible.md,  3461 ,65.8,★★★★☆
deepseek-r1:14b,deepseek-r1,14,20-configure-helm,deepseek-r1:14b-20-configure-helm.md,  4307 ,85.6,★★★★☆
deepseek-r1:14b,deepseek-r1,14,40-configure-tekton,deepseek-r1:14b-40-configure-tekton.md,  4426 ,77.4,★★★★☆
deepseek-r1:32b,deepseek-r1,32,20-configure-helm,deepseek-r1:32b-20-configure-helm.md,  4751 ,194.0,★★★★☆
deepseek-r1:32b,deepseek-r1,32,30-configure-postgres-server,deepseek-r1:32b-30-configure-postgres-server.md,  4162 ,153.3,★★★★☆
gemma2:27b,gemma2,27,05-configure-keys,gemma2:27b-05-configure-keys.md,  2182 ,74.3,★★★★☆
qwen2.5-coder:14b,qwen2.5-coder,14,30-configure-postgres-server,qwen2.5-coder:14b-30-configure-postgres-server.md,  2742 ,45.5,★★★★☆
starcoder2:15b,,,05-configure-keys,starcoder2:15b-05-configure-keys.md,  1748 ,29.3,★☆☆☆☆
starcoder2:7b,,,05-configure-keys,starcoder2:7b-05-configure-keys.md,    75 ,0.4,★☆☆☆☆
starcoder2:latest,,,05-configure-keys,starcoder2:latest-05-configure-keys.md,    79 ,0.2,★☆☆☆☆
qwen2.5-coder:latest,qwen2.5-coder,7,30-configure-postgres-server,qwen2.5-coder:latest-30-configure-postgres-server.md,  2576 ,22.0,★★★★☆
codellama:13b,codellama,13,40-configure-tekton,codellama:13b-40-configure-tekton.md,  3559 ,60.3,★★★☆☆
deepseek-r1:14b,deepseek-r1,14,30-configure-postgres-server,deepseek-r1:14b-30-configure-postgres-server.md,  4694 ,76.0,★★★☆☆
deepseek-r1:latest,deepseek-r1,7,40-configure-tekton,deepseek-r1:latest-40-configure-tekton.md,  6316 ,56.0,★★★☆☆
gemma2:27b,gemma2,27,20-configure-helm,gemma2:27b-20-configure-helm.md,  2408 ,77.0,★★★☆☆
llama3.2:latest,llama3.2,7,05-configure-keys,llama3.2:latest-05-configure-keys.md,  4177 ,26.7,★★★☆☆
llama3.2:latest,llama3.2,7,10-configure-ansible,llama3.2:latest-10-configure-ansible.md,  3829 ,24.8,★★★☆☆
llama3.2:latest,llama3.2,7,20-configure-helm,llama3.2:latest-20-configure-helm.md,  2770 ,16.3,★★★☆☆
llama3.2:latest,llama3.2,7,30-configure-postgres-server,llama3.2:latest-30-configure-postgres-server.md,  3340 ,18.5,★★★☆☆
llama3.2:latest,llama3.2,7,40-configure-tekton,llama3.2:latest-40-configure-tekton.md, 10418 ,55.0,★★★☆☆
qwen2.5-coder:14b,qwen2.5-coder,14,05-configure-keys,qwen2.5-coder:14b-05-configure-keys.md,  2969 ,57.6,★★★☆☆
qwen2.5-coder:14b,qwen2.5-coder,14,10-configure-ansible,qwen2.5-coder:14b-10-configure-ansible.md,  2393 ,41.8,★★★☆☆
starcoder2:15b,,,10-configure-ansible,starcoder2:15b-10-configure-ansible.md,    79 ,1.3,☆☆☆☆☆
starcoder2:7b,,,10-configure-ansible,starcoder2:7b-10-configure-ansible.md,   390 ,3.8,☆☆☆☆☆
starcoder2:latest,,,10-configure-ansible,starcoder2:latest-10-configure-ansible.md,    82 ,0.3,☆☆☆☆☆
qwen2.5-coder:14b,qwen2.5-coder,14,40-configure-tekton,qwen2.5-coder:14b-40-configure-tekton.md,  4117 ,80.3,★★★☆☆
qwen2.5-coder:latest,qwen2.5-coder,7,05-configure-keys,qwen2.5-coder:latest-05-configure-keys.md,  2874 ,27.6,★★★☆☆
qwen2.5-coder:latest,qwen2.5-coder,7,10-configure-ansible,qwen2.5-coder:latest-10-configure-ansible.md,  3129 ,28.6,★★★☆☆
qwen2.5-coder:latest,qwen2.5-coder,7,20-configure-helm,qwen2.5-coder:latest-20-configure-helm.md,  2078 ,20.5,★★★☆☆
qwen2.5-coder:latest,qwen2.5-coder,7,40-configure-tekton,qwen2.5-coder:latest-40-configure-tekton.md,  3873 ,37.6,★★★☆☆
codellama:13b,codellama,13,05-configure-keys,codellama:13b-05-configure-keys.md,  1434 ,23.9,★★☆☆☆
codellama:13b,codellama,13,10-configure-ansible,codellama:13b-10-configure-ansible.md,  1968 ,35.6,★★☆☆☆
codellama:13b,codellama,13,20-configure-helm,codellama:13b-20-configure-helm.md,  1323 ,27.2,★★☆☆☆
codellama:13b,codellama,13,30-configure-postgres-server,codellama:13b-30-configure-postgres-server.md,  1501 ,23.8,★★☆☆☆
codellama:latest,codellama,7,05-configure-keys,codellama:latest-05-configure-keys.md,  1992 ,19.0,★★☆☆☆
codellama:latest,codellama,7,10-configure-ansible,codellama:latest-10-configure-ansible.md,  1652 ,17.4,★★☆☆☆
codellama:latest,codellama,7,20-configure-helm,codellama:latest-20-configure-helm.md,  1613 ,17.4,★★☆☆☆
starcoder2:15b,,,20-configure-helm,starcoder2:15b-20-configure-helm.md,    75 ,5.1,★☆☆☆☆
starcoder2:7b,,,20-configure-helm,starcoder2:7b-20-configure-helm.md,    75 ,3.0,★☆☆☆☆
starcoder2:latest,,,20-configure-helm,starcoder2:latest-20-configure-helm.md,    79 ,1.4,★☆☆☆☆
codellama:latest,codellama,7,30-configure-postgres-server,codellama:latest-30-configure-postgres-server.md,  1648 ,13.8,★★☆☆☆
codellama:latest,codellama,7,40-configure-tekton,codellama:latest-40-configure-tekton.md,  2698 ,24.5,★★☆☆☆
deepseek-r1:1.5b,deepseek-r1,1.5,05-configure-keys,deepseek-r1:1.5b-05-configure-keys.md,  5192 ,14.1,★★☆☆☆
deepseek-r1:1.5b,deepseek-r1,1.5,10-configure-ansible,deepseek-r1:1.5b-10-configure-ansible.md,  2079 ,5.4,★★☆☆☆
deepseek-r1:1.5b,deepseek-r1,1.5,30-configure-postgres-server,deepseek-r1:1.5b-30-configure-postgres-server.md,  4469 ,10.7,★★☆☆☆
deepseek-r1:1.5b,deepseek-r1,1.5,40-configure-tekton,deepseek-r1:1.5b-40-configure-tekton.md,  8279 ,22.3,★★☆☆☆
deepseek-r1:latest,deepseek-r1,7,05-configure-keys,deepseek-r1:latest-05-configure-keys.md, 14484 ,126.2,★★☆☆☆
deepseek-r1:latest,deepseek-r1,7,20-configure-helm,deepseek-r1:latest-20-configure-helm.md,  4024 ,36.3,★★☆☆☆
deepseek-r1:latest,deepseek-r1,7,30-configure-postgres-server,deepseek-r1:latest-30-configure-postgres-server.md,  5454 ,43.5,★★☆☆☆
gemma2:27b,gemma2,27,10-configure-ansible,gemma2:27b-10-configure-ansible.md,  2499 ,87.6,★★☆☆☆
gemma2:27b,gemma2,27,30-configure-postgres-server,gemma2:27b-30-configure-postgres-server.md,  1750 ,51.1,★★☆☆☆
gemma2:27b,gemma2,27,40-configure-tekton,gemma2:27b-40-configure-tekton.md,  2594 ,76.8,★★☆☆☆
starcoder2:15b,,,30-configure-postgres-server,starcoder2:15b-30-configure-postgres-server.md,    86 ,0.6,★☆☆☆☆
starcoder2:7b,,,30-configure-postgres-server,starcoder2:7b-30-configure-postgres-server.md,    86 ,0.3,★☆☆☆☆
starcoder2:latest,,,30-configure-postgres-server,starcoder2:latest-30-configure-postgres-server.md,    91 ,0.2,★☆☆☆☆
llama2-uncensored:latest,llama2-uncensored,7,05-configure-keys,llama2-uncensored:latest-05-configure-keys.md,  1394 ,16.1,★★☆☆☆
llama2-uncensored:latest,llama2-uncensored,7,10-configure-ansible,llama2-uncensored:latest-10-configure-ansible.md,   953 ,11.2,★★☆☆☆
llama2-uncensored:latest,llama2-uncensored,7,30-configure-postgres-server,llama2-uncensored:latest-30-configure-postgres-server.md,   629 ,5.8,★★☆☆☆
qwen2.5-coder:14b,qwen2.5-coder,14,20-configure-helm,qwen2.5-coder:14b-20-configure-helm.md,  2667 ,53.5,★★☆☆☆
wizard-vicuna-uncensored:latest,wizard-vicuna-uncensored,7,05-configure-keys,wizard-vicuna-uncensored:latest-05-configure-keys.md,  1917 ,20.2,★★☆☆☆
wizard-vicuna-uncensored:latest,wizard-vicuna-uncensored,7,10-configure-ansible,wizard-vicuna-uncensored:latest-10-configure-ansible.md,  3169 ,36.8,★★☆☆☆
wizard-vicuna-uncensored:latest,wizard-vicuna-uncensored,7,30-configure-postgres-server,wizard-vicuna-uncensored:latest-30-configure-postgres-server.md,  2633 ,28.8,★★☆☆☆
wizard-vicuna-uncensored:latest,wizard-vicuna-uncensored,7,40-configure-tekton,wizard-vicuna-uncensored:latest-40-configure-tekton.md,  2226 ,21.6,★★☆☆☆
deepseek-r1:1.5b,deepseek-r1,1.5,20-configure-helm,deepseek-r1:1.5b-20-configure-helm.md,  6779 ,19.9,★☆☆☆☆
deepseek-r1:latest,deepseek-r1,7,10-configure-ansible,deepseek-r1:latest-10-configure-ansible.md,  7226 ,59.7,★☆☆☆☆
llama2-uncensored:latest,llama2-uncensored,7,20-configure-helm,llama2-uncensored:latest-20-configure-helm.md,   212 ,3.9,★☆☆☆☆
llama2-uncensored:latest,llama2-uncensored,7,40-configure-tekton,llama2-uncensored:latest-40-configure-tekton.md,  3431 ,32.3,★☆☆☆☆
starcoder2:15b,,,40-configure-tekton,starcoder2:15b-40-configure-tekton.md,  1034 ,16.1,☆☆☆☆☆
starcoder2:7b,,,40-configure-tekton,starcoder2:7b-40-configure-tekton.md,   446 ,3.3,☆☆☆☆☆
